Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,place
The Orchid Hotel Mumbai Vile Parle,4.0,Very Good,5593,5.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,"6,499",780,Mumbai
Trident Bandra Kurla,4.6,Excellent,4987,5.0,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,"8,750",,Mumbai
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,5.0,South Mumbai ,Cooper hospital,620 m ,"14,000",,Mumbai
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"5,099",612,Mumbai
Trident Nariman Point,4.6,Excellent,5563,5.0,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,"11,250",,Mumbai
The Lalit Mumbai,4.1,Very Good,6468,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,"11,160","3,000",Mumbai
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,4.0,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,"3,679",,Mumbai
"Taj Santacruz, Mumbai",4.6,Excellent,4563,5.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,"9,000",,Mumbai
Hotel Surya Prakash,3.9,Very Good,121,3.0,Chembur,,,"3,939",968,Mumbai
Hilton Mumbai International Airport,4.2,Very Good,1686,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,"9,100",,Mumbai
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"6,999",,Mumbai
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,,South Mumbai,,,816,211,Mumbai
The Regale by Tunga,4.1,Very Good,4946,3.0,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"4,427",932,Mumbai
"Taj Lands End, Mumbai",4.5,Excellent,4222,5.0,Bandra West ,Band Stand,230 m ,"11,000",,Mumbai
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,5.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"7,095","2,136",Mumbai
Sahara Star,4.2,Very Good,7303,5.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,"10,400","1,872",Mumbai
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,160",341,Mumbai
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,"7,500",,Mumbai
The Westin Mumbai Garden City,4.4,Excellent,1431,5.0,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,"9,000",,Mumbai
JW Marriott Mumbai Juhu,4.4,Excellent,1731,5.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,"12,500",,Mumbai
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,"10,030",,Mumbai
City Stay,4.6,Excellent,214,,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"1,229",370,Mumbai
JW Marriott Mumbai Sahar,4.5,Excellent,2139,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,"9,500",,Mumbai
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,5.0,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,"7,000",,Mumbai
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,5.0,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,550","1,539",Mumbai
The Leela Mumbai,4.5,Excellent,2861,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"10,500",,Mumbai
Novotel Mumbai International Airport,4.4,Excellent,102,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,"8,299",,Mumbai
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,"7,499",,Mumbai
Sun-N-Sand,4.2,Very Good,2353,5.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"8,835","2,660",Mumbai
The St. Regis Mumbai,4.5,Excellent,1328,5.0,South Mumbai ,Tata memorial cancer hospital,640 m ,"12,500",,Mumbai
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4.0,Very Good,1443,4.0,In Mumbai Airport ,,,"9,303","2,501",Mumbai
"Zostel Mumbai
Like a 3",4.0,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,342",285,Mumbai
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,5.0,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,"10,400",,Mumbai
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,5.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"8,500",,Mumbai
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,"6,499",,Mumbai
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,3.0,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,"2,624",,Mumbai
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,"9,000",,Mumbai
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,4.0,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,"4,975","1,806",Mumbai
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,4.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,"5,275","1,430",Mumbai
Ramee Techome,4.0,Very Good,1173,4.0,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,"6,231","1,273",Mumbai
Shabana,3.5,Very Good,216,,Colaba ,Gateway Of India Mumbai,1.1 km ,"1,304",355,Mumbai
Hotel Bawa International,4.0,Very Good,1817,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,"5,000",,Mumbai
"Ginger Mumbai, Goregaon",3.8,Very Good,478,4.0,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,"3,224",,Mumbai
Grand Hyatt Mumbai,4.3,Excellent,1855,5.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"10,000",,Mumbai
Hotel Marine Plaza,4.2,Very Good,1292,5.0,Churchgate ,Queen's Necklace - Marine Drive,270 m ,"9,449","1,701",Mumbai
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Very Good,5001,5.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"3,566","1,294",Mumbai
Hotel Airport International,3.7,Very Good,3139,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,"3,255",770,Mumbai
Dragonfly Hotel - The Art Hotel,3.5,Very Good,906,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"3,035",935,Mumbai
Four Seasons Hotel Mumbai,4.4,Excellent,1863,5.0,South Mumbai,,,"49,000",,Mumbai
Gateway Inn | Rooms in an Apartment,3.2,Good,356,,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"1,839",495,Mumbai
"The Oberoi, Mumbai",4.7,Excellent,876,5.0,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,"16,750",,Mumbai
Hotel Jyoti Dwelling,4.2,Very Good,1539,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,"2,232",456,Mumbai
Indie Stays,3.9,Very Good,1406,3.0,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"6,975","1,425",Mumbai
Meluha - The Fern,4.4,Excellent,2189,5.0,Powai ,T2 - Chhatrapati Shivaji International Airport,7.2 km ,"7,109","1,911",Mumbai
Afra dormitory,4.8,Excellent,4,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,848,228,Mumbai
Hotel Airlink,3.8,Very Good,387,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,950 m ,"3,204",798,Mumbai
The Fern Goregaon,4.2,Very Good,1842,5.0,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.9 km ,"7,988","2,405",Mumbai
Mirage Hotel,4.1,Very Good,1820,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"6,126","1,251",Mumbai
"RELOhomes | 1 BHK Apartment
Like a 4",4.6,Excellent,45,,Powai ,T2 - Chhatrapati Shivaji International Airport,7.7 km ,"5,721","1,420",Mumbai
Click Hotel Caliph,3.3,Good,834,3.0,Powai ,T2 - Chhatrapati Shivaji International Airport,5.4 km ,"4,500",,Mumbai
HOTEL LEAFIO MARIGOLD,3.7,Very Good,1387,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,162",748,Mumbai
"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,Very Good,1528,3.0,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"3,623","1,288",Mumbai
Hotel Sea Princess,4.1,Very Good,1762,5.0,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"7,952","2,138",Mumbai
HOTEL WEGO,4.1,Very Good,1335,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,495","1,128",Mumbai
Rodas - An Ecotel Hotel,4.4,Excellent,795,3.0,Powai ,T2 - Chhatrapati Shivaji International Airport,7.0 km ,"7,998","2,150",Mumbai
The Westin Mumbai Powai Lake,4.3,Excellent,1282,5.0,Powai ,T2 - Chhatrapati Shivaji International Airport,6.7 km ,"9,000",,Mumbai
Mayura Aureole Co-Living,4.2,Very Good,143,,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.4 km ,"1,496",418,Mumbai
Sea Green Hotel,3.8,Very Good,1203,3.0,Churchgate ,Queen's Necklace - Marine Drive,450 m ,"4,692","1,265",Mumbai
ibis Mumbai Vikhroli - An Accor Brand,3.9,Very Good,327,4.0,Vikhroli West ,T2 - Chhatrapati Shivaji International Airport,9.5 km ,"6,299",,Mumbai
Aboo's Concord Galaxy,3.3,Good,798,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.9 km ,"3,228",831,Mumbai
The Paradise by Tunga,4.0,Very Good,1202,3.0,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,"5,864","1,424",Mumbai
Address Dormitory,4.0,Very Good,240,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,404,113,Mumbai
Arnna Hotel - Goregaon,3.8,Very Good,135,3.0,Goregaon ,T1 - Chhatrapati Shivaji International Airport,7.9 km ,"2,919",830,Mumbai
Ramee Guestline Hotel - Dadar,4.1,Very Good,774,4.0,South Mumbai,,,"6,814","1,612",Mumbai
Hotel Metro Palace,3.6,Very Good,1167,3.0,Bandra West ,Band Stand,2.5 km ,"4,064",495,Mumbai
Hotel Manama,3.5,Very Good,1566,3.0,South Mumbai ,Gateway Of India Mumbai,2.3 km ,"3,158",747,Mumbai
Aashiyana Dormitory,3.1,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,630,176,Mumbai
T24 Residency,4.0,Very Good,2465,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"4,099",,Mumbai
"The Taj Mahal Palace, Mumbai",4.7,Excellent,802,5.0,Colaba ,Gateway Of India Mumbai,280 m ,"27,000",,Mumbai
The Roa Hotel,3.7,Very Good,1300,3.0,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,"2,976",608,Mumbai
Hotel Leafio,3.5,Very Good,1919,3.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"2,199",264,Mumbai
The Byke Delotel,3.8,Very Good,419,3.0,Borivali West,,,"3,183",903,Mumbai
The Empresa Hotel,3.8,Very Good,701,4.0,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,099","1,458",Mumbai
HOTEL KOHINOOR PARK,3.8,Very Good,592,3.0,South Mumbai ,Siddhivinayak Temple,480 m ,"3,596","1,118",Mumbai
The Altruist Business Hotel (Andheri),3.6,Very Good,1257,3.0,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,"2,763",711,Mumbai
Hotel Parle International,3.7,Very Good,3158,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,"4,836","1,052",Mumbai
Ocean Dormitory,3.6,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,925,249,Mumbai
Hotel Beacon T2,3.2,Good,955,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,"3,600",851,Mumbai
Hotel Columbus,3.6,Very Good,1401,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,"2,608",567,Mumbai
Sea Green South Hotel,3.9,Very Good,985,3.0,Churchgate ,Queen's Necklace - Marine Drive,440 m ,"5,583","1,389",Mumbai
Hotel Suba International,4.3,Excellent,683,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"6,700",,Mumbai
Classic Dormitory,3.8,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572,145,Mumbai
The Resort Mumbai,4.2,Very Good,3937,5.0,Madh,,,"11,811","3,556",Mumbai
The Mirador,3.7,Very Good,384,4.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"6,750",810,Mumbai
The Sahil Hotel,4.2,Very Good,1587,4.0,South Mumbai ,Mumbai Central Bus Terminus,610 m ,"4,650","1,100",Mumbai
Avion Hotel,3.3,Good,1154,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,"4,205","1,033",Mumbai
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678,189,Mumbai
Comfort Inn Heritage,3.9,Very Good,963,4.0,South Mumbai,,,"4,743","1,122",Mumbai
Hotel Planet Residency,3.8,Very Good,1064,3.0,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,"3,726","1,028",Mumbai
Hotel Kohinoor Elite,4.1,Very Good,2183,4.0,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,"7,250",,Mumbai
Residency Hotel Andheri,4.0,Very Good,1866,4.0,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"4,883","1,155",Mumbai
